LOCATION,Country,TIME,Value
ITA,Italy,2016,100.1428952
,,,
,,,
,,,
,,,
ITA,Italy,2017,97.89340736
,,,
,,,
,,,
,,,
ITA,Italy,2018,96.44636158
,,,
,,,
,,,
,,,
,,,
,,,
GRC,Greece,2005,138.3917546
,,,
,,,
,,,
,,,
GRC,Greece,2006,156.3597457
,,,
,,,
,,,
,,,
GRC,Greece,2007,166.0377983
,,,
,,,
,,,
,,,
GRC,Greece,2008,168.4641759
,,,
,,,
,,,
,,,
GRC,Greece,2009,161.2221167
,,,
,,,
,,,
,,,
GRC,Greece,2010,154.1703581
,,,
,,,
,,,
,,,
GRC,Greece,2011,145.6626667
,,,
,,,
,,,
,,,
GRC,Greece,2012,128.5331471
,,,
,,,
,,,
,,,
GRC,Greece,2013,114.5011165
,,,
,,,
,,,
,,,
GRC,Greece,2014,105.3658787
,,,
,,,
,,,
,,,
GRC,Greece,2015,100
,,,
,,,
,,,
,,,
GRC,Greece,2016,97.58848231
,,,
,,,
,,,
,,,
GRC,Greece,2017,96.5130755
,,,
,,,
,,,
,,,
GRC,Greece,2018,98.17727538
,,,
,,,
,,,
,,,
,,,
,,,
SVN,Slovenia,2007,136.6286827
,,,
,,,
,,,
,,,
SVN,Slovenia,2008,138.4615863
,,,
,,,
,,,
,,,
SVN,Slovenia,2009,124.2933639
,,,
,,,
,,,
,,,
SVN,Slovenia,2010,122.6635772
,,,
,,,
,,,
,,,
SVN,Slovenia,2011,123.7939797
,,,
,,,
,,,
,,,
SVN,Slovenia,2012,113.323226
,,,
,,,
,,,
,,,
SVN,Slovenia,2013,105.1373851
,,,
,,,
,,,
,,,
SVN,Slovenia,2014,98.60784493
,,,
,,,
,,,
,,,
SVN,Slovenia,2015,100
,,,
,,,
,,,
,,,
SVN,Slovenia,2016,103.9177588
,,,
,,,
,,,
,,,
SVN,Slovenia,2017,110.3705984
,,,
,,,
,,,
,,,
SVN,Slovenia,2018,118.5587783
,,,
,,,
,,,
,,,
,,,
,,,
ESP,Spain,2005,130.197203
,,,
,,,
,,,
,,,
ESP,Spain,2006,142.2763253
,,,
,,,
,,,
,,,
ESP,Spain,2007,151.5817998
,,,
,,,
,,,
,,,
ESP,Spain,2008,144.1299213
,,,
,,,
,,,
,,,
ESP,Spain,2009,136.5791447
,,,
,,,
,,,
,,,
ESP,Spain,2010,134.1727567
,,,
,,,
,,,
,,,
ESP,Spain,2011,123.313384
,,,
,,,
,,,
,,,
ESP,Spain,2012,110.8459351
,,,
,,,
,,,
,,,
ESP,Spain,2013,100.3971292
,,,
,,,
,,,
,,,
ESP,Spain,2014,100.4579454
,,,
,,,
,,,
,,,
ESP,Spain,2015,100
,,,
,,,
,,,
,,,
ESP,Spain,2016,102.0107658
,,,
,,,
,,,
,,,
ESP,Spain,2017,105.5312368
,,,
,,,
,,,
,,,
ESP,Spain,2018,109.1078781
